Total time to construct inverted index: 15.814880609512329 seconds.
Size of inverted index: 
unique terms indexed: 13352
average postings list length: 6.995206710605153 postings
total unique positional indicies: 93400

*********************
Token: bart
Found in 104 documents
docID: 5.11 @ position 23
docID: 5.11 @ position 362
docID: 5.11 @ position 587
docID: 5.11 @ position 777
docID: 5.12 @ position 6
docID: 5.12 @ position 17
docID: 5.12 @ position 28
docID: 5.12 @ position 36
docID: 5.12 @ position 42
docID: 5.12 @ position 58
docID: 5.12 @ position 82
docID: 5.12 @ position 88
docID: 5.12 @ position 99
docID: 5.12 @ position 107
docID: 5.12 @ position 134
docID: 5.12 @ position 146
docID: 5.12 @ position 211
docID: 5.12 @ position 236
docID: 5.12 @ position 341
docID: 5.12 @ position 381
docID: 5.12 @ position 448
docID: 5.12 @ position 546
docID: 5.12 @ position 568
docID: 5.12 @ position 582
docID: 5.12 @ position 601
docID: 5.12 @ position 620
docID: 5.12 @ position 632
docID: 5.12 @ position 697
docID: 5.12 @ position 711
docID: 5.12 @ position 734
docID: 5.12 @ position 753
docID: 5.12 @ position 791
docID: 5.13 @ position 388
docID: 5.13 @ position 393
docID: 5.14 @ position 776
docID: 5.15 @ position 692
docID: 5.15 @ position 713
docID: 5.15 @ position 748
docID: 5.16 @ position 387
docID: 5.16 @ position 859
docID: 5.17 @ position 1
docID: 5.17 @ position 20
docID: 5.17 @ position 35
docID: 5.17 @ position 48
docID: 5.17 @ position 66
docID: 5.17 @ position 87
docID: 5.17 @ position 100
docID: 5.17 @ position 139
docID: 5.17 @ position 218
docID: 5.17 @ position 257
docID: 5.17 @ position 388
docID: 5.17 @ position 401
docID: 5.17 @ position 489
docID: 5.17 @ position 570
docID: 5.17 @ position 893
docID: 5.17 @ position 959
docID: 5.18 @ position 71
docID: 5.18 @ position 112
docID: 5.18 @ position 119
docID: 5.18 @ position 137
docID: 5.18 @ position 144
docID: 5.18 @ position 158
docID: 5.18 @ position 163
docID: 5.18 @ position 181
docID: 5.18 @ position 203
docID: 5.18 @ position 212
docID: 5.18 @ position 229
docID: 5.18 @ position 264
docID: 5.18 @ position 274
docID: 5.18 @ position 297
docID: 5.18 @ position 587
docID: 5.19 @ position 10
docID: 5.19 @ position 18
docID: 5.19 @ position 72
docID: 5.19 @ position 97
docID: 5.19 @ position 153
docID: 5.19 @ position 161
docID: 5.19 @ position 171
docID: 5.19 @ position 174
docID: 5.19 @ position 219
docID: 5.19 @ position 238
docID: 5.19 @ position 251
docID: 5.19 @ position 267
docID: 5.19 @ position 308
docID: 5.19 @ position 370
docID: 5.19 @ position 489
docID: 5.19 @ position 573
docID: 5.19 @ position 708
docID: 5.19 @ position 738
docID: 5.20 @ position 1
docID: 5.20 @ position 13
docID: 5.20 @ position 45
docID: 5.20 @ position 61
docID: 5.20 @ position 67
docID: 5.20 @ position 106
docID: 5.20 @ position 143
docID: 5.20 @ position 152
docID: 5.20 @ position 165
docID: 5.20 @ position 246
docID: 5.20 @ position 249
docID: 5.20 @ position 273
docID: 5.20 @ position 305
docID: 5.20 @ position 316
docID: 5.20 @ position 368
docID: 5.20 @ position 411
docID: 5.20 @ position 416
docID: 5.20 @ position 426
docID: 5.20 @ position 469
docID: 5.20 @ position 493
docID: 5.20 @ position 569
